"Collection Name","Title#1","Name#1","Name URI#1","Name#2","Name URI#2","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Place Created#1","Publisher#1","Date Issued#1","Date Created#1","Date Captured#1","Edition#1","Language Term#1","Language Term URI#1","Language Term Type#1","Extent#1","Physical Description Note#1","Internet Media Type#1","Digital Origin#1","Form#1#1","Form URI#1#1","Abstract#1","Note#1","Note Type#1","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Name#1","Subject Name URI#1","Subject Name#2","Subject Name URI#2","Subject Name#3","Subject Name URI#3","Subject Name#4","Subject Name URI#4","Subject Geographic#1","Subject Geographic URI#1","Identifier#1","Physical Location#1","Physical Location Type#1","Shelf Locator#1","Access Condition#1","Access ConditionURI#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL","lnexp_IMAGEURL:4"
"CU Japanese and Japanese American Community History Project","""Preliminary Host Family List""","Unidentified author","","","","Text","https://id.loc.gov/vocabulary/resourceTypes/txt.html","Registers (lists)","http://id.loc.gov/authorities/genreForms/gf2014026166","Boulder (Colo.)","","","1962-09-09","2020-07-13","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","9 pages","","application/pdf","reformatted digital","registers (lists)","http://vocab.getty.edu/aat/300027168","Preliminary Host Family List, September 9, 1962. Includes Hiroyuki Wada [country noted as “Okinawa”] at Neil Elsheimer, Yoshimi Takekoshi at Joseph Sano, Noboru Kito at Hobart Wagener [and others] ","","","Minorities in higher education","http://id.worldcat.org/fast/1741187","","","Teruya, Hirofumi","","Wada, Hiroyuki","","Takekoshi, Yoshimi","","Kito, Noboru","","","","narv_cosmoClub_01_04_preliminaryHostFamilyList.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","COU:4044","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","161","4768","narv_cosmoClub_01_04_preliminaryHostFamilyList.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~161~272144","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_cosmoClub_01_04_preliminaryHostFamilyList.pdf"
"CU Japanese and Japanese American Community History Project","""Program""","Unidentified author","","","","Text","https://id.loc.gov/vocabulary/resourceTypes/txt.html","Concert programs","http://id.loc.gov/authorities/genreForms/gf2014026065","Boulder (Colo.)","","","Undated","2020-07-13","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","1 page","","application/pdf","reformatted digital","concert programs","http://vocab.getty.edu/aat/300395494","Program under ""Japan"" sections:songs Kimiko and Yuri, Piano Yukiko Sawabe. “Song of the score” “Sakura” “Cherry blossom, cherry blossom …”","","","Minorities in higher education","http://id.worldcat.org/fast/1741187","","","Sawabe, Yukiko","","","","","","","","","","narv_cosmoClub_05_03_programUndated.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","COU:4044","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","132","4768","narv_cosmoClub_05_03_programUndated.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~132~272036","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_cosmoClub_05_03_programUndated.pdf"
"CU Japanese and Japanese American Community History Project","""Students from Abroad now studying at CU""","Hundley, George K., author","","","","Text","https://id.loc.gov/vocabulary/resourceTypes/txt.html","Registers (lists)","http://id.loc.gov/authorities/genreForms/gf2014026166","Boulder (Colo.)","","","Fall 1955","2020-07-13","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","8 pages","","application/pdf","reformatted digital","registers (lists)","http://vocab.getty.edu/aat/300027168","Typed name list of students from abroad at University of Colorado, Fall 1955, [by] George K. Hundley, Foreign Student Advisor. Hiroshi, Tatsugoro; Karimata, Masahiko; Nakachi, Masao; Oshikawa, Sadaomi; Sano, Tsukasa; Sato, Yuji; Takahashi, Masao; Teruya, Yoshihiko; Yoza, Moriaki, [and others]","","","Minorities in higher education","http://id.worldcat.org/fast/1741187","","","Teruya, Yoshihiko, 1932-","http://id.loc.gov/authorities/names/n87931523","Oshikawa, Sadaomi","","Sato, Yuji","","Takahashi, Masao","","","","narv_cosmoClub_01_04_studentsFromAbroadFall1955.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","COU:4044","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","155","4768","narv_cosmoClub_01_04_studentsFromAbroadFall1955.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~155~272140","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_cosmoClub_01_04_studentsFromAbroadFall1955.pdf"
"CU Japanese and Japanese American Community History Project","""Students from abroad now studying at CU""","Hundley, George K., author","","","","Text","https://id.loc.gov/vocabulary/resourceTypes/txt.html","Registers (lists)","http://id.loc.gov/authorities/genreForms/gf2014026166","Boulder (Colo.)","","","Fall 1954","2020-07-13","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","9 pages","","application/pdf","reformatted digital","registers (lists)","http://vocab.getty.edu/aat/300027168","Typed name list of students from abroad at University of Colorado, Fall 1954, [by] George K. Hundley, Foreign Student Advisor. Hokama, Seishiro; Karimata, Masahiko; Nakachi, Masao; Watanabe, Michiko; Ozawa, Kazuo; Sano, Tsukasa; Sato, Yuji; Yoza, Moriaki, [and others]","","","Minorities in higher education","http://id.worldcat.org/fast/1741187","","","Hokama, Seishirō, 1927-","http://id.loc.gov/authorities/names/no2012152457","Sato, Yuji","","Karimata, Masahiko","","Watanabe, Michiko","","","","narv_cosmoClub_01_04_studentsFromAbroadFall1954.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","COU:4044","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","157","4768","narv_cosmoClub_01_04_studentsFromAbroadFall1954.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~157~272142","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_cosmoClub_01_04_studentsFromAbroadFall1954.pdf"
"CU Japanese and Japanese American Community History Project","""Travel Annual Issue 35""","Cosmopolitan Club, author","","","","Text","https://id.loc.gov/vocabulary/resourceTypes/txt.html","","","Boulder (Colo.)","","","Undated","2020-07-13","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","7 pages","","application/pdf","reformatted digital","programs (documents)","http://vocab.getty.edu/aat/300027240","Program for the Third International Fair of the University of Colorado Cosmopolitan Club. Includes: George Masunaga, Jimmy Taguchi, Trooda Oda, Eleanor Goto, Kumi Matsusaki, Tami Kosuge, Kisa Noguchi [and others] ","","","Minorities in higher education","http://id.worldcat.org/fast/1741187","","","Masunaga, George","","Taguchi, Jimmy","","Oda, Trooda","","Goto, Eleanor","","","","narv_cosmoClub_01_03_travelAnnual35.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","COU:4044","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","135","4768","narv_cosmoClub_01_03_travelAnnual35.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~135~272160","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_cosmoClub_01_03_travelAnnual35.pdf"
"CU Japanese and Japanese American Community History Project","""U of C Students Come to Boulder from Many Places""","Unidentified author","","","","Text","https://id.loc.gov/vocabulary/resourceTypes/txt.html","Newspapers","http://id.loc.gov/authorities/genreForms/gf2014026132","Boulder (Colo.)","","","Undated","2020-07-13","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","1 page","","application/pdf","reformatted digital","newspaper columns","http://vocab.getty.edu/aat/300026441","Two cutouts of newspaper articles. “University of Colorado Students come to Boulder from Many Places” indicates one of the foreign student is John Edward Fugita.  ","","","Minorities in higher education","http://id.worldcat.org/fast/1741187","Cosmopolitan Club (University of Colorado)","","Fugita, John Edward","","","","","","","","","","narv_cosmoClub_02_01_manyPlaces.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","COU:4044","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","83","4768","narv_cosmoClub_02_01_manyPlaces.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~83~272134","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_cosmoClub_02_01_manyPlaces.pdf"
"CU Japanese and Japanese American Community History Project","""UCD Investigating Complaints by Testing Center Employees""","","","","","Still image","https://id.loc.gov/vocabulary/resourceTypes/img.html","","","","","","","2020-07-13","","","","","","","application/pdf","reformatted digital","","","","","","","","","","","","","","","","","","","","narv_silverGoldRecord_UCDInvestigating_120993.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","Silver & Gold Record 1993-1994","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","193","4768","narv_silverGoldRecord_UCDInvestigating_120993.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~193~272226","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_silverGoldRecord_UCDInvestigating_120993.pdf"
"CU Japanese and Japanese American Community History Project","""UCSC questions if merit award should be given to work teams""","Jones, Susan Barney, author","","","","Text","https://id.loc.gov/vocabulary/resourceTypes/txt.html","Newspapers","http://id.loc.gov/authorities/genreForms/gf2014026132","Boulder (Colo.)","","","1993-12-09","2020-07-13","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","1 page","","application/pdf","reformatted digital","newspaper columns","http://vocab.getty.edu/aat/300026441","Silver & Gold Record. Thursday, Dec. 9, 1993. page 5. UCSC invited Ken Tagawa, UCD Human Resources Director, to discuss the PBP (performance based pay) planning process.","","","","","","","Tagawa, Kenneth Masayuki
","http://id.loc.gov/authorities/names/n86847459","","","","","","","","","narv_silverGoldRecord_UCSCquestionsMeritAward_120993.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","Silver & Gold Record 1993-1994","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","191","4768","narv_silverGoldRecord_UCSCquestionsMeritAward_120993.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~191~272224","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_silverGoldRecord_UCSCquestionsMeritAward_120993.pdf"
"CU Japanese and Japanese American Community History Project","""Universities Exchange Professors w/ Japan""","Unidentified author","","","","Text","https://id.loc.gov/vocabulary/resourceTypes/txt.html","Newspapers","http://id.loc.gov/authorities/genreForms/gf2014026132","Boulder (Colo.)","","","Undated","2020-07-13","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","1 page","","application/pdf","reformatted digital","newspaper columns","http://vocab.getty.edu/aat/300026441","A newspaper article based on Minnesota Alumni Weekly. “Universities Exchange Professors with Japan” ","","","Universities and colleges--Faculty","http://id.worldcat.org/fast/1161748","","","Nitobe, Ignanzo","","","","","","","","","","narv_silverGold_UniversitiesExchange.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","Silver and Gold 1911-1912","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","177","4768","narv_silverGold_UniversitiesExchange.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~177~272236","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_silverGold_UniversitiesExchange.pdf"
"CU Japanese and Japanese American Community History Project","""Would you be here in summer and fall?""","Unidentified author","","","","Text","https://id.loc.gov/vocabulary/resourceTypes/txt.html","Registers (lists)","http://id.loc.gov/authorities/genreForms/gf2014026166","Boulder (Colo.)","","","Undated","2020-07-13","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","1 page","","application/pdf","reformatted digital","registers (lists)","http://vocab.getty.edu/aat/300027168","Handwritten name list of who would be here in summer and fall. Toru Hagiwara is one of the five listed.","","","Minorities in higher education","http://id.worldcat.org/fast/1741187","","","Hagiwara, Toru","","","","","","","","","","narv_cosmoClub_04_06_summerFall.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","COU:4044","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","113","4768","narv_cosmoClub_04_06_summerFall.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~113~272072","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_cosmoClub_04_06_summerFall.pdf"
"CU Japanese and Japanese American Community History Project","A Review of Roles and Responsibilities by Stuart M. Takeuchi","Takeuchi, Stuart Minoru, author","http://id.loc.gov/authorities/names/n85805040","","","Text","https://id.loc.gov/vocabulary/resourceTypes/txt.html","","","Boulder (Colo.)","","","1976-08-01","2020-04-09","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","15 pages","","application/pdf","reformatted digital","reports","http://vocab.getty.edu/aat/300027267","A Review of Roles and Responsibilities by Stuart M. Takeuchi ","","","Affirmative action programs in education","Minorities in higher education","","","Takeuchi, Stuart Minoru","http://id.loc.gov/authorities/names/n85805040","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","","","","","narv_chancellorOfficePapers_reviewOfRoles.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","COU:2347","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","4","4768","narv_chancellorOfficePapers_reviewOfRoles.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~4~272208","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_chancellorOfficePapers_reviewOfRoles.pdf"
"CU Japanese and Japanese American Community History Project","Akira Horie Cosmopolitan Club 1953","Unidentified creator","","","","Still image","https://id.loc.gov/vocabulary/resourceTypes/img.html","Photobooks","http://id.loc.gov/authorities/genreForms/gf2014026144","Boulder (Colo.)","","","1953","2020-04-07","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","1 page ","","application/pdf","reformatted digital","school yearbooks","http://vocab.getty.edu/aat/300028024","""Cosmopolitan Club"" photograph with Michiko Watanabe and Akira Horie, and others","","","Minorities in higher education","http://id.worldcat.org/fast/1741187","","","Horie, Akira","","Watanabe, Michiko","","","","","","","","narv_coloradan_1953_272.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","LD 1187 .C6","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","11","4768","narv_coloradan_1953_272.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~11~272198","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_coloradan_1953_272.pdf"
"CU Japanese and Japanese American Community History Project","Akira Horie Cosmopolitan Club 1954","Unidentified creator","","","","Still image","https://id.loc.gov/vocabulary/resourceTypes/img.html","Photobooks","http://id.loc.gov/authorities/genreForms/gf2014026144","Boulder (Colo.)","","","1954","2020-04-07","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","1 page ","","application/pdf","reformatted digital","school yearbooks","http://vocab.getty.edu/aat/300028024","""Cosmopolitan Club"" photograph with Akira Horie, Masao Nakachi, Michiko Watanabe, and others","","","Minorities in higher education","http://id.worldcat.org/fast/1741187","","","Horie, Akira","","Watanabe, Michiko","","Nakachi, Masao","","","","","","narv_coloradan_1954_207.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","LD 1187 .C6","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","17","4768","narv_coloradan_1954_207.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~17~272186","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_coloradan_1954_207.pdf"
"CU Japanese and Japanese American Community History Project","Akira Horie Fleming Hall","Unidentified creator","","","","Still image","https://id.loc.gov/vocabulary/resourceTypes/img.html","Photobooks","http://id.loc.gov/authorities/genreForms/gf2014026144","Boulder (Colo.)","","","1953","2020-04-07","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","1 page ","","application/pdf","reformatted digital","school yearbooks","http://vocab.getty.edu/aat/300028024","""Fleming Hall"" photographs with Moriaki Yoza, Akira Horie, Don Tsukiyama, Masahito Okada, Yoshinobu Asato, Isamu Okada, and others","Fleming Hall is a new dorm","local","Minorities in higher education","http://id.worldcat.org/fast/1741187","","","Horie, Akira","","Yoza, Moriaki","","Tsukiyama, Don","","Okada, Masahito","http://id.loc.gov/authorities/names/no98065395","","","narv_coloradan_1953_324.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","LD 118 .C6","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","15","4768","narv_coloradan_1953_324.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~15~272190","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_coloradan_1953_324.pdf"
"CU Japanese and Japanese American Community History Project","Akira Horie Inter-Varsity Christian Fellowship","Unidentified creator","","","","Still image","https://id.loc.gov/vocabulary/resourceTypes/img.html","Photobooks","http://id.loc.gov/authorities/genreForms/gf2014026144","Boulder (Colo.)","","","1953","2020-04-07","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","1 page ","","application/pdf","reformatted digital","school yearbooks","http://vocab.getty.edu/aat/300028024","""Inter-Varsity Christian Fellowship"" photograph with Michiko Watanabe, Akira Horie, and others","","","Inter-Varsity Christian Fellowship","http://id.worldcat.org/fast/547921","","","Horie, Akira","","Watanabe, Michiko","","","","","","","","narv_coloradan_1953_291.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","LD 1187 .C6","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","13","4768","narv_coloradan_1953_291.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~13~272194","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_coloradan_1953_291.pdf"
"CU Japanese and Japanese American Community History Project","Akira Horie Kenkyu Club","Unidentified creator","","","","Still image","https://id.loc.gov/vocabulary/resourceTypes/img.html","Photobooks","http://id.loc.gov/authorities/genreForms/gf2014026144","Boulder (Colo.)","","","1953","2020-04-07","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","1 page ","","application/pdf","reformatted digital","school yearbooks","http://vocab.getty.edu/aat/300028024","""The Japanese Kenkyu Club"" members' photograph","Naomi Hasui, Akira Horie, Sue Akagi, Kaz [Kazuko] Yamaga, Grace Gamaguchi, Joyce Honda, Don Uyeda, Ben Watada, Kenneth Uyehara, Masahito Okada, Sam [Isamu] Okada, Tom Sera, Larry Otaguro, Sadaomi Oshikawa. ","local","Minorities in higher education","http://id.worldcat.org/fast/1741187","","","Horie, Akira","","Hasui, Naomi","","Yamaga, Kazuko","","Oshikawa, Sadaomi, 1929-","http://id.loc.gov/authorities/names/n87150300","","","narv_coloradan_1953_275.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","LD 1187 .C6","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","12","4768","narv_coloradan_1953_275.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~12~272196","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_coloradan_1953_275.pdf"
"CU Japanese and Japanese American Community History Project","Akira Horie Men's Co-op House","Unidentified creator","","","","Still image","https://id.loc.gov/vocabulary/resourceTypes/img.html","Photobooks","http://id.loc.gov/authorities/genreForms/gf2014026144","Boulder (Colo.)","","","1954","2020-04-07","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","1 page ","","application/pdf","reformatted digital","school yearbooks","http://vocab.getty.edu/aat/300028024","""Men's Co-op House"" photograph with Akira Horie and others","","","Minorities in higher education","http://id.worldcat.org/fast/1741187","","","Horie, Akira","","","","","","","","","","narv_coloradan_1954_267.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","LD 1187 .C6","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","18","4768","narv_coloradan_1954_267.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~18~272184","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_coloradan_1954_267.pdf"
"CU Japanese and Japanese American Community History Project","Akira Horie Soccer","Unidentified creator","","","","Still image","https://id.loc.gov/vocabulary/resourceTypes/img.html","Photobooks","http://id.loc.gov/authorities/genreForms/gf2014026144","Boulder (Colo.)","","","1954","2020-04-07","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","1 page ","","application/pdf","reformatted digital","school yearbooks","http://vocab.getty.edu/aat/300028024","""Buff Soccer Squad"" photograph with Akira Horie and others","","","Minorities in higher education","http://id.worldcat.org/fast/1741187","","","Horie, Akira","","","","","","","","","","narv_coloradan_1954_156.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","LD 1187 .C6","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","16","4768","narv_coloradan_1954_156.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~16~272188","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_coloradan_1954_156.pdf"
"CU Japanese and Japanese American Community History Project","Akira Horie Wesley Foundation","Unidentified creator","","","","Still image","https://id.loc.gov/vocabulary/resourceTypes/img.html","Photobooks","http://id.loc.gov/authorities/genreForms/gf2014026144","Boulder (Colo.)","","","1953","2020-04-07","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","1 page ","","application/pdf","reformatted digital","school yearbooks","http://vocab.getty.edu/aat/300028024","""Wesley Foundation"" photograph with Akira Horie and others","","","Wesley foundations","http://id.worldcat.org/fast/1173888","","","Horie, Akira","","","","","","","","","","narv_coloradan_1953_296.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","LD 118 .C6","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","14","4768","narv_coloradan_1953_296.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~14~272192","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_coloradan_1953_296.pdf"
"CU Japanese and Japanese American Community History Project","Alan Ikeya: tri-executive of the Student Union ","","","","","Still image","https://id.loc.gov/vocabulary/resourceTypes/img.html","","","","","","","2020-10-12","","","","","","","application/pdf","reformatted digital","","","","","","","","","","","","","","","","","","","","narv_summit_v4-7_p29.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","The Summit ","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","179","4768","narv_summit_v4-7_p29.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~179~272272","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_summit_v4-7_p29.pdf"
"CU Japanese and Japanese American Community History Project","Alan Yamamoto","","","","","","#N/A","","","","","","","2020-10-12","","","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","","","application/pdf","reformatted digital","","","","","","","","","","","","","","","","","","","","narv_summit_v11-12_p18.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","The Summit","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","176","4768","narv_summit_v11-12_p18.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~176~272270","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_summit_v11-12_p18.pdf"
